example_id                                                            | status | run_time        |
./spec/models/section_spec.rb[1:2:1]                                  | passed | 0.0053 seconds  |
./spec/models/section_spec.rb[1:2:2]                                  | passed | 0.00494 seconds |
./spec/models/section_spec.rb[1:3:1]                                  | passed | 0.28655 seconds |
./spec/models/user_role_spec.rb[1:1]                                  | passed | 0.28984 seconds |
./spec/models/user_role_spec.rb[1:2]                                  | passed | 0.3017 seconds  |
./spec/models/user_role_spec.rb[1:3]                                  | passed | 0.30698 seconds |
./spec/models/user_role_spec.rb[1:4]                                  | passed | 0.3042 seconds  |
./spec/models/user_role_spec.rb[1:5]                                  | passed | 0.30522 seconds |
./spec/models/user_spec.rb[1:1]                                       | passed | 0.29424 seconds |
./spec/models/user_spec.rb[1:2]                                       | passed | 0.29017 seconds |
./spec/models/user_spec.rb[1:3]                                       | passed | 0.57845 seconds |
./spec/models/user_spec.rb[1:4]                                       | passed | 0.30378 seconds |
./spec/models/user_spec.rb[1:5]                                       | passed | 0.30512 seconds |
./spec/policies/user_policy_spec.rb[1:1:1]                            | passed | 0.29308 seconds |
./spec/policies/user_policy_spec.rb[1:1:2]                            | passed | 0.58574 seconds |
./spec/policies/user_policy_spec.rb[1:1:3]                            | passed | 0.59881 seconds |
./spec/policies/user_policy_spec.rb[1:2:1]                            | passed | 0.29468 seconds |
./spec/policies/user_policy_spec.rb[1:2:2]                            | passed | 0.58265 seconds |
./spec/policies/user_policy_spec.rb[1:2:3]                            | passed | 0.59552 seconds |
./spec/policies/user_policy_spec.rb[1:3:1]                            | passed | 0.29588 seconds |
./spec/policies/user_policy_spec.rb[1:3:2]                            | passed | 0.58222 seconds |
./spec/policies/user_policy_spec.rb[1:3:3]                            | passed | 0.59265 seconds |
./spec/serializers/resume_serializer_spec.rb[1:1]                     | passed | 0.30915 seconds |
./spec/serializers/section_serializer_spec.rb[1:1]                    | passed | 0.30505 seconds |
./spec/serializers/user_serializer_spec.rb[1:1]                       | passed | 0.29449 seconds |
./spec/serializers/user_serializer_spec.rb[1:2]                       | passed | 0.2963 seconds  |
./spec/serializers/user_serializer_spec.rb[1:3]                       | passed | 1.07 seconds    |
./spec/services/web/web_about_me_service_spec.rb[1:1:1]               | passed | 0.00789 seconds |
./spec/services/web/web_about_me_service_spec.rb[1:1:2]               | passed | 0.00684 seconds |
./spec/services/web/web_quequeo_service_spec.rb[1:1:1]                | passed | 0.00522 seconds |
./spec/services/web/web_quequeo_service_spec.rb[1:1:2]                | passed | 0.00498 seconds |
./spec/services/web/web_work_experience_service_spec.rb[1:1:1]        | passed | 0.00341 seconds |
./spec/services/web/web_work_experience_service_spec.rb[1:1:2]        | passed | 0.00326 seconds |
